iter	Passed	Remaining
0	1	110
1	2	102
2	3	97
3	3	89
4	4	87
5	5	85
6	6	86
7	7	88
8	8	89
9	9	88
10	10	86
11	11	85
12	12	83
13	13	82
14	14	81
15	15	79
16	16	78
17	17	77
18	17	76
19	18	75
20	19	74
21	20	73
22	21	72
23	22	72
24	23	71
25	24	69
26	25	68
27	26	67
28	27	66
29	28	65
30	29	65
31	30	64
32	31	63
33	32	62
34	33	61
35	34	60
36	35	59
37	36	59
38	37	57
39	37	56
40	38	55
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	33
64	61	32
65	62	31
66	63	31
67	64	30
68	65	29
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
